zinc_id,smiles,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,NumValenceElectrons,NumChiralCentersUnassigned,NumChiralCentersAssigned,QED
ZINC000164528615,CC(C)(C)[C@@H]1NC(=O)O[C@@H]2CCC[C@H]2OC/C=C/C(F)(F)c2nc3ccccc3nc2O[C@@H]2C[C@@H](C(=O)N[C@]3(C(=O)NS(=O)(=O)C4(C)CC4)C[C@H]3C(F)F)N(C2)C1=O,838.878,3.8568,195.22,3,11,6,7,198,8,7,0.282624874438525
ZINC000000592419,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,403.212,5.0309,60.45,1,4,7,3,84,0,0,0.704638345772945
ZINC000100004343,CCCCN(CCCC)C[C@H](O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,528.951,9.1517,23.47,1,2,10,4,128,1,1,0.221686693839071
ZINC000000897385,Clc1ccc([C@H](Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,387.719,5.8629,27.05,0,4,6,3,77,1,1,0.529189772245413
ZINC000001543916,CC(C)[C@H](N)C(=O)OC[C@@H](CO)OCn1cnc2c(=O)[nH]c(N)nc21,354.367,-1.4367,171.37,4,10,8,2,84,2,2,0.414293770684337
ZINC000003831404,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,324.424,3.1732,45.59,1,4,4,5,90,5,4,0.877601618478394
ZINC000004655029,COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,555.516,7.13050000000001,45.59,1,4,8,5,139,2,2,0.221354752388258
ZINC000003915154,CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,540.697,4.70390000000001,99.13,1,7,5,6,142,9,9,0.504653926425636
ZINC000060392785,O=C(O)CN(CCN(CC(=O)O)C[C@@H](CO[P@](=O)(O)OC1CCC(c2ccccc2)(c2ccccc2)CC1)N(CC(=O)O)CC(=O)O)CC(=O)O,737.696,1.7465,251.98,6,11,23,3,174,2,2,0.0888607987053436
ZINC000003875334,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,402.487,2.5606,97.74,1,6,3,4,104,6,6,0.728838561931016
ZINC000003875393,COc1cc2c(cc1OC)[C@@H]1CC(=O)[C@@H](CC(C)C)CN1CC2,317.429,3.2381,38.77,0,4,4,3,85,2,2,0.854414611285797
